naics_edition_year,history_year,history_naics,cur_naics
2017,2012,3111,3111
2017,2017,3111,3111
2017,2022,3111,3111
2017,2012,31111,31111
2017,2017,31111,31111
2017,2022,31111,31111
2017,2012,311111,311111
2017,2017,311111,311111
2017,2022,311111,311111
2017,2012,311119,311119
2017,2017,311119,311119
2017,2022,311119,311119
2017,2012,3112,3112
2017,2017,3112,3112
2017,2022,3112,3112
2017,2012,31121,31121
2017,2017,31121,31121
2017,2022,31121,31121
2017,2012,311211,311211
2017,2017,311211,311211
2017,2022,311211,311211
2017,2012,311212,311212
2017,2017,311212,311212
2017,2022,311212,311212
2017,2012,311213,311213
2017,2017,311213,311213
2017,2022,311213,311213
2017,2012,31122,31122
2017,2017,31122,31122
2017,2022,31122,31122
2017,2012,311221,311221
2017,2017,311221,311221
2017,2022,311221,311221
2017,2012,311224,311224
2017,2017,311224,311224
2017,2022,311224,311224
2017,2012,311225,311225
2017,2017,311225,311225
2017,2022,311225,311225
2017,2012,31123,31123
2017,2017,31123,31123
2017,2022,31123,31123
2017,2012,311230,311230
2017,2017,311230,311230
2017,2022,311230,311230
2017,2012,3113,3113
2017,2017,3113,3113
2017,2022,3113,3113
2017,2012,31131,31131
2017,2017,31131,31131
2017,2022,31131,31131
2017,2012,311313,311313
2017,2017,311313,311313
2017,2022,311313,311313
2017,2012,311314,311314
2017,2017,311314,311314
2017,2022,311314,311314
2017,2012,31134,31134
2017,2017,31134,31134
2017,2022,31134,31134
2017,2012,311340,311340
2017,2017,311340,311340
2017,2022,311340,311340
2017,2012,31135,31135
2017,2017,31135,31135
2017,2022,31135,31135
2017,2012,311351,311351
2017,2017,311351,311351
2017,2022,311351,311351
2017,2012,311352,311352
2017,2017,311352,311352
2017,2022,311352,311352
2017,2012,3114,3114
2017,2017,3114,3114
2017,2022,3114,3114
2017,2012,31141,31141
2017,2017,31141,31141
2017,2022,31141,31141
2017,2012,311411,311411
2017,2017,311411,311411
2017,2022,311411,311411
2017,2012,311412,311412
2017,2017,311412,311412
2017,2022,311412,311412
2017,2012,31142,31142
2017,2017,31142,31142
2017,2022,31142,31142
2017,2012,311421,311421
2017,2017,311421,311421
2017,2022,311421,311421
2017,2012,311422,311422
2017,2017,311422,311422
2017,2022,311422,311422
2017,2012,311423,311423
2017,2017,311423,311423
2017,2022,311423,311423
2017,2012,3115,3115
2017,2017,3115,3115
2017,2022,3115,3115
2017,2012,31151,31151
2017,2017,31151,31151
2017,2022,31151,31151
2017,2012,311511,311511
2017,2017,311511,311511
2017,2022,311511,311511
2017,2012,311512,311512
2017,2017,311512,311512
2017,2022,311512,311512
2017,2012,311513,311513
2017,2017,311513,311513
2017,2022,311513,311513
2017,2012,311514,311514
2017,2017,311514,311514
2017,2022,311514,311514
2017,2012,31152,31152
