iter	Passed	Remaining
898	4314	484
899	4317	479
900	4323	475
901	4326	470
902	4330	465
903	4333	460
904	4338	455
905	4342	450
906	4345	445
907	4349	440
908	4354	435
909	4357	430
910	4360	426
911	4364	421
912	4370	416
913	4373	411
914	4377	406
915	4380	401
916	4386	397
917	4389	392
918	4392	387
919	4396	382
920	4401	377
921	4404	372
922	4408	367
923	4411	362
924	4416	358
925	4419	353
926	4423	348
927	4426	343
928	4432	338
929	4435	333
930	4438	328
931	4442	324
932	4447	319
933	4450	314
934	4454	309
935	4457	304
936	4463	300
937	4467	295
938	4470	290
939	4473	285
940	4478	280
941	4482	275
942	4485	271
943	4489	266
944	4494	261
945	4497	256
946	4501	251
947	4504	247
948	4509	242
949	4513	237
950	4517	232
951	4520	227
952	4526	223
953	4530	218
954	4534	213
955	4537	208
956	4542	204
957	4545	199
958	4548	194
959	4551	189
960	4557	184
961	4561	180
962	4566	175
963	4573	170
964	4577	166
965	4580	161
966	4586	156
967	4590	151
968	4593	146
969	4597	142
970	4602	137
971	4606	132
972	4609	127
973	4613	123
974	4618	118
975	4622	113
976	4625	108
977	4629	104
978	4634	99
979	4637	94
980	4641	89
981	4646	85
982	4650	80
983	4653	75
984	4657	70
985	4662	66
986	4666	61
987	4669	56
988	4673	51
989	4678	47
990	4683	42
991	4686	37
992	4690	33
993	4695	28
994	4698	23
995	4702	18
996	4705	14
997	4710	9
998	4713	4
999	4717	0
